id	conway
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE	*332
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE	332
v102h248728676c88abd7	*235
v102h63135343ab206f3b	*432
v102ha0145080ab94fac9	2*5
v102hae056372ee7b85b8	*33
v102he0fc26d1f37f5c66	*22
v102he593564ce5c632e4	*55
v106hb125deb358f972a7	332
v107h025ed392ab598a98	225
v10CCACACACACACACAE	22
v10CCACCACAACCACAAE	*33
v10CCACCCACCACAADEE	*33
v10CCACCCACCACABDEE	*332
v10CCCACACACACACAAE	22
v10CCCACACACCAACAAE	*222
v10CCCACACACCACADEE	*22
v10CCCACACCAACACAAE	2*2
v10CCCACACCACACAAAE	22
v10CCCACCACACAACAAE	2*4
v10CCCACCACACACAAAE	*33
v110h4b2c5a85b94cfcfa	*432
v114hbbc5b9238e0f042a	*22
v116h36e5646efec1b226	222
v116hbed78f7f3f7b7d2e	332
v116he2a8f2ee792f4030	226
v11CCACCACAACCACAACAE	*223
v11CCACCCACCACAACDEBE	*223
v11CCCACACACACACACAAE	22
v11CCCACACACCAACACAAE	*22
v11CCCACACACCACACAAAE	1
v11CCCACACCACACAACAAE	*22
v11CCCACACCACACACAAAE	*
v11CCCACACCACACACAABE	22
v11CCCACACCACCACADAEE	*223
v11CCCACCACACACAACAAE	22
v11CCCACCACACACACAAAE	*22
v11CCCACCACACCACAADEE	*22
v122h8fe939a1353d3843	*235
v127h4fa99ecb0de114a9	*225
v128h0a8234b313980563	222
v128h918f570260220c9b	226
v12CCCACAACCACAACCACAAE	2*3
v12CCCACACACACACACACAAE	22
v12CCCACACACCAACACACAAE	2*2
v12CCCACACACCACACAACAAE	*
v12CCCACACACCACACACAAAE	*
v12CCCACACACCACACACAABE	1
v12CCCACACCAACACACCAABE	*222
v12CCCACACCACACAACACAAE	222
v12CCCACACCACACACAACAAE	1
v12CCCACACCACACACACAAAE	*
v12CCCACACCACCACACAAAAE	*
v12CCCACACCACCACACAAABE	22
v12CCCACACCACCACACAABAE	223
v12CCCACCACACACACAACAAE	22
v12CCCACCACACACACACAABE	1
v12CCCACCACACCACAACAABE	22
v12CCCACCACACCACACAAAAE	*
v12CCCACCACACCACACAAABE	*22
v12CCCACCACACCACACDEAAE	2*2
v12CCCACCACACCACACDEABE	*222
v12CCCACCACCACACAACADEE	2*2
v12CCCACCACCACACACAAAAE	*223
v12CCCCACCACACACAACAAAE	*235
v132h1603e125d77882ba	235
v135h092af6d7c2f7fe27	22
v137hb0c7acff201fd2bd	*225
v13CCACCACAACCACAACCACAAE	*33
v13CCACCCACCACACACAACAAAE	*33
v13CCCACACACACACACACACAAE	22
v13CCCACACACCAACACACCAABE	*22
v13CCCACACACCACACAACACAAE	1
v13CCCACACACCACACACAACAAE	1
v13CCCACACACCACACACACAAAE	*
v13CCCACACACCACACACACADEE	22
v13CCCACACCACACACAACACAAE	22
v13CCCACACCACACACACAACAAE	1
v13CCCACACCACACACACACAABE	1
v13CCCACACCACACACACCAAABE	*22
v13CCCACACCACCACACAAACAAE	1
v13CCCACACCACCACACAACAAAE	1
v13CCCACACCACCACACAACAABE	*22
v13CCCACACCACCACACAACADEE	22
v13CCCACACCACCACACACAAAAE	*22
v13CCCACCACACAACCACACAAAE	*22
v13CCCACCACACACACACAACAAE	22
v13CCCACCACACACACACACAAAE	*
