name	family	T	a	b	ancestors	descendants
v12CCCCACCACACACAACAAAE	ico	1	1	0		v32CCCCACCCACCACCACCACACACCAACCAACCAACCAACACACAACAACAACAAACAAAE,v42CCCCACCCACCACCACCACACCACACACACACACACACAACCACACACACACACACACAACCAACAACAACAADECAAAE,v72CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACACACCAACACCAACACCAACACCAACACACACACCAACACCAACACCAACACCAACACACAACCAAACCAAACCAAACCAAACAACDEDEDEBE,v92CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE,v122CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACACAACACACAACACACAACACACAACAACCAACACAACACAACACAACACAAACCAACAACAACAADECAAAE,v132CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACACACACCAACACACCAACACACCAACACACCAACACACACACACACCAACACACCAACACACCAACACACCAACACACACACACACCAACACACCAACACACCAACACACCAACACACACAACACCAAACACCAAACACCAAACACCAAACACAACACDEACDEACDEACDEAACAAAE,v162CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACAACACACAACACACAACACACAACACADECACACAACACAACACAACACAACAACACAACAACAACAAACAAAE,v192CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCAACACACCACAACACACCACAACACACCACAACACACCACAACACACACCAACACACCACAACACACCACAACACACCACAACACACCACAACACACACCAACACACCACAACACACCACAACACACCACAACACACCACAACACACACCAACAACCACAACAACCACAACAACCACAACAACCACAACAACACCAAACCACAAACCACAAACCACAAACCACAAACACDECADECADECADECADEACAAAE,v212CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACAACACACCAAACACACCAAACACACCAAACACACCAAACACACAACACACDEACACDEACACDEACACDEACAACACAACAACAACAAACAAAE,v252CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACAACACACACAACACACACAACACACACAACACACADECACACACAACACACAACACACAACACACAACACAACACACAACACAACACAACACAACAACACAACAACAACAAACAAAE,v272CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACCACACACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACACACAACACACACACAACACACACACAACACACACACAACACAACCACAACACACACAACACACACAACACACACAACACACACAACAACCACAACACACAACACACAACACACAACACACAAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE
v122CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACACAACACACAACACACAACACACAACAACCAACACAACACAACACAACACAAACCAACAACAACAADECAAAE	ico	12	2	2	v12CCCCACCACACACAACAAAE,v32CCCCACCCACCACCACCACACACCAACCAACCAACCAACACACAACAACAACAAACAAAE,v42CCCCACCCACCACCACCACACCACACACACACACACACAACCACACACACACACACACAACCAACAACAACAADECAAAE	
v132CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACACACACCAACACACCAACACACCAACACACCAACACACACACACACCAACACACCAACACACCAACACACCAACACACACACACACCAACACACCAACACACCAACACACCAACACACACAACACCAAACACCAAACACCAAACACCAAACACAACACDEACDEACDEACDEAACAAAE	ico	13	3	1	v12CCCCACCACACACAACAAAE	
v162CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACAACACACAACACACAACACACAACACADECACACAACACAACACAACACAACAACACAACAACAACAAACAAAE	ico	16	4	0	v12CCCCACCACACACAACAAAE,v42CCCCACCCACCACCACCACACCACACACACACACACACAACCACACACACACACACACAACCAACAACAACAADECAAAE	
v192CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCAACACACCACAACACACCACAACACACCACAACACACCACAACACACACCAACACACCACAACACACCACAACACACCACAACACACCACAACACACACCAACACACCACAACACACCACAACACACCACAACACACCACAACACACACCAACAACCACAACAACCACAACAACCACAACAACCACAACAACACCAAACCACAAACCACAAACCACAAACCACAAACACDECADECADECADECADEACAAAE	ico	19	3	2	v12CCCCACCACACACAACAAAE	
v212CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACAACACACCAAACACACCAAACACACCAAACACACCAAACACACAACACACDEACACDEACACDEACACDEACAACACAACAACAACAAACAAAE	ico	21	4	1	v12CCCCACCACACACAACAAAE,v32CCCCACCCACCACCACCACACACCAACCAACCAACCAACACACAACAACAACAAACAAAE	
v252CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACACACACACACAACCACACACAACACACACAACACACACAACACACACAACACACADECACACACAACACACAACACACAACACACAACACAACACACAACACAACACAACACAACAACACAACAACAACAAACAAAE	ico	25	5	0	v12CCCCACCACACACAACAAAE	
v272CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACCACACACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACACACAACACACACACAACACACACACAACACACACACAACACAACCACAACACACACAACACACACAACACACACAACACACACAACAACCACAACACACAACACACAACACACAACACACAAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE	ico	27	3	3	v12CCCCACCACACACAACAAAE,v32CCCCACCCACCACCACCACACACCAACCAACCAACCAACACACAACAACAACAAACAAAE,v92CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE	
v32CCCCACCCACCACCACCACACACCAACCAACCAACCAACACACAACAACAACAAACAAAE	ico	3	1	1	v12CCCCACCACACACAACAAAE	v92CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACACACACACACACACACACACACACAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE,v122CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACACAACACACAACACACAACACACAACAACCAACACAACACAACACAACACAAACCAACAACAACAADECAAAE,v212CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACACACACACCAACACACACCAACACACACCAACACACACCAACACACACACAACACACCAAACACACCAAACACACCAAACACACCAAACACACAACACACDEACACDEACACDEACACDEACAACACAACAACAACAAACAAAE,v272CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACCACACACACACCACACACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACCACACAACACACCACACAACACACCACACAACACACCACACAACACACACCACAACACACACACAACACACACACAACACACACACAACACACACACAACACAACCACAACACACACAACACACACAACACACACAACACACACAACAACCACAACACACAACACACAACACACAACACACAAACCACAACACAACACAACACAACADECACAACAACAACAAACAAAE
v42CCCCACCCACCACCACCACACCACACACACACACACACAACCACACACACACACACACAACCAACAACAACAADECAAAE	ico	4	2	0	v12CCCCACCACACACAACAAAE	v122CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACCACAACACCACAACACCACAACACCACAACACACCAACACACAACACACAACACACAACACACAACAACCAACACAACACAACACAACACAAACCAACAACAACAADECAAAE,v162CCCCACCCACCACCACCACACCACCACACCACACCACACCACACACCACACCACACACCACACACCACACACCACACACACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACACACACACACACACACACACACACACACACACAACCACACAACACACAACACACAACACACAACACADECACACAACACAACACAACACAACAACACAACAACAACAAACAAAE
