label	T	a	b	base	V	CLERS
tet_T28_4_2	28	4	2	tet	58	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCABACACACCACABABACACCACABABACADEADEE
tet_T31_5_1	31	5	1	tet	64	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACABCACACACACABCACACACACABABCACADEACADEADEE
tet_T36_6_0	36	6	0	tet	74	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACABCACACACADEACACACADEACACADEACADEADEE
tet_T37_4_3	37	4	3	tet	76	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACABABACACCACACABABABACCACACABABABADEE
tet_T39_5_2	39	5	2	tet	80	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCABACACACACCACABABACACACCACABABACACADEACADEADEE
tet_T43_6_1	43	6	1	tet	88	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACABCACACACACACABCACACACACACABABCACACADEACACADEACADEADEE
tet_T48_4_4	48	4	4	tet	98	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACABABABACCACACACABABABABCACACACABABABABE
tet_T49_5_3	49	5	3	tet	100	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE
tet_T49_7_0	49	7	0	tet	100	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE
tet_T52_6_2	52	6	2	tet	106	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCABACACACACACCACABABACACACACCACABABACACACADEACACADEACADEADEE
tet_T57_7_1	57	7	1	tet	116	CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACACACACACABCACACACACACACABCACACACACACACABABCACACACADEACACACADEACACADEACADEADEE
