id	name	v	order	nrot	nrefl
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE	v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE	100	24	12	12
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE	v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE	100	12	12	0
v102h63135343ab206f3b	v102CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACACCACACACAACACACACAACACACACAACACACADECACACACAACACACAACACACAACACAACACACAACACAACACAACAACACAACAACAAACAAE	102	48	24	24
v106hb125deb358f972a7	v106CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCABACACACACACCACABABACACACACCACABABACACACADEACACADEACADEADEE	106	12	12	0
v107h025ed392ab598a98	v107CCCACCCACCACCACACCACCACACCACACCACACACCACACCACACACCACACACCACACACACCACACACCACACACACCACACACACCACACACACAACACACACCAACACACACDEACACACCAACACACAACACACACCAACACACAACACACCAACACAACACACACCAACACAACACACCAACAACACADABCAACAABEAAE	107	10	10	0
v10CCACACACACACACAE	v10CCACACACACACACAE	10	2	2	0
v10CCACCACAACCACAAE	v10CCACCACAACCACAAE	10	6	3	3
v10CCACCCACCACABDEE	v10CCACCCACCACABDEE	10	24	12	12
v10CCCACACACACACAAE	v10CCCACACACACACAAE	10	2	2	0
v10CCCACACACCAACAAE	v10CCCACACACCAACAAE	10	8	4	4
v10CCCACACACCACADEE	v10CCCACACACCACADEE	10	4	2	2
v10CCCACACCAACACAAE	v10CCCACACCAACACAAE	10	8	4	4
v10CCCACACCACACAAAE	v10CCCACACCACACAAAE	10	2	2	0
v10CCCACCACACAACAAE	v10CCCACCACACAACAAE	10	16	8	8
v10CCCACCACACACAAAE	v10CCCACCACACACAAAE	10	6	3	3
