name	themes
v14CCACACACACACACACACACACAE	nonprime
v10CCACACACACACACAE	nonprime
v9CCACACACACACAE	nonprime
v8CCACACACACAE	nonprime
v7CCACACACAE	nonprime
v6CCACACAE	nonprime
v7CCACACCABE	nonprime
v5CCACAE	classics
v11CCACCACAACCACAACAE	nonprime
v14CCACCACAACCACAACCACAACAE	nonprime
v17CCACCACAACCACAACCACAACCACAACAE	nonprime
v13CCACCACAACCACAACCACAAE	nonprime
v10CCACCACAACCACAAE	nonprime
v7CCACCACAAE	nonprime
v8CCACCACACABE	nonprime
v9CCACCACCACABAE	nonprime
v11CCACCCACCACAACDEBE	classics
v10CCACCCACCACAADEE	classics
v10CCACCCACCACABDEE	nonprime
v13CCACCCACCACACACAACAAAE	classics
v4CCAE	classics,recognized
v15CCCACAACCACAACCACAACCACAAE	nonprime
v12CCCACAACCACAACCACAAE	nonprime
v9CCCACAACCACAAE	nonprime
v6CCCACAAE	classics,nonprime,recognized,small
v7CCCACACAAE	classics,decap,icorel,recognized,small
v8CCCACACACAAE	classics,small
v9CCCACACACACAAE	small
v10CCCACACACACACAAE	phyllo31,small
v11CCCACACACACACACAAE	phyllo31,small
v12CCCACACACACACACACAAE	phyllo31,small
v13CCCACACACACACACACACAAE	phyllo31
v14CCCACACACACACACACACACAAE	phyllo31
v15CCCACACACACACACACACACACAAE	phyllo31
v16CCCACACACACACACACACACACACAAE	phyllo31
v17CCCACACACACACACACACACACACACAAE	phyllo31
v18CCCACACACACACACACACACACACACACAAE	phyllo31
v19CCCACACACACACACACACACACACACACACAAE	phyllo31
v20CCCACACACACACACACACACACACACACACACAAE	phyllo31
v21CCCACACACACACACACACACACACACACACACACAAE	phyllo31
v22CCCACACACACACACACACACACACACACACACACACAAE	phyllo31
v23CCCACACACACACACACACACACACACACACACACACACAAE	phyllo31
v24CCCACACACACACACACACACACACACACACACACACACACAAE	phyllo31
v25CCCACACACACACACACACACACACACACACACACACACACACAAE	phyllo31
v9CCCACACACCAABE	small
v10CCCACACACCAACAAE	phyllo22,recognized,small
v11CCCACACACCAACACAAE	phyllo22,small
v12CCCACACACCAACACACAAE	phyllo22,small
v13CCCACACACCAACACACCAABE	phyllo22
v14CCCACACACCAACACACCAACAAE	phyllo22,recognized
v15CCCACACACCAACACACCAACACAAE	phyllo22
v16CCCACACACCAACACACCAACACACAAE	phyllo22
v17CCCACACACCAACACACCAACACACCAABE	phyllo22
v18CCCACACACCAACACACCAACACACCAACAAE	phyllo22,recognized
v19CCCACACACCAACACACCAACACACCAACACAAE	phyllo22
v20CCCACACACCAACACACCAACACACCAACACACAAE	phyllo22
v21CCCACACACCAACACACCAACACACCAACACACCAABE	phyllo22
v22CCCACACACCAACACACCAACACACCAACACACCAACAAE	phyllo22,recognized
v23CCCACACACCAACACACCAACACACCAACACACCAACACAAE	phyllo22
v24CCCACACACCAACACACCAACACACCAACACACCAACACACAAE	phyllo22
v25CCCACACACCAACACACCAACACACCAACACACCAACACACCAABE	phyllo22
v26CCCACACACCAACACACCAACACACCAACACACCAACACACCAACAAE	recognized
v30CCCACACACCAACACACCAACACACCAACACACCAACACACCAACACACCAACAAE	recognized
v11CCCACACACCACACAAAE	dented,small
v12CCCACACACCACACAACAAE	dented,small
v12CCCACACACCACACACAAAE	dented,small
v12CCCACACACCACACACAABE	small
v10CCCACACACCACADEE	recognized,small
v8CCCACACCAABE	preapproved,recognized,small
v10CCCACACCAACACAAE	small
v12CCCACACCAACACACCAABE	preapproved,recognized,small
v16CCCACACCAACACACCAACACACCAABE	preapproved,recognized
v20CCCACACCAACACACCAACACACCAACACACCAABE	preapproved,recognized
v24CCCACACCAACACACCAACACACCAACACACCAACACACCAABE	preapproved,recognized
v28CCCACACCAACACACCAACACACCAACACACCAACACACCAACACACCAABE	recognized
v10CCCACACCACACAAAE	small
v11CCCACACCACACAACAAE	dented,small
v12CCCACACCACACAACACAAE	dented,small
v11CCCACACCACACACAAAE	dented,small
v11CCCACACCACACACAABE	small
v12CCCACACCACACACAACAAE	dented,small
v12CCCACACCACACACACAAAE	dented,small
v12CCCACACCACCACACAAAAE	dented,small
v12CCCACACCACCACACAAABE	dented,small
v12CCCACACCACCACACAABAE	small
v13CCCACACCACCACACAACAABE	decap,icorel
v19CCCACACCACCACACACACACCACAACAACAABE	icorel
v25CCCACACCACCACACACACACCACAACACACACCACAACAACAABE	icorel
v15CCCACACCACCACACACCACAABABE	preapproved,recognized
v21CCCACACCACCACACACCACAACACACACCACAABABE	preapproved,recognized
v27CCCACACCACCACACACCACAACACACACCACAACACACACCACAABABE	recognized
v30CCCACACCACCACACACCACAACACACACCACAACACACACCACAACADECACAAE	recognized
v24CCCACACCACCACACACCACAACACACACCACAACADECACAAE	preapproved,recognized
v18CCCACACCACCACACACCACAACADECACAAE	preapproved,recognized
v24CCCACACCACCACACACCACACCACACACACCACACAABABABE	preapproved,recognized
v29CCCACACCACCACACACCACACCACACACACCACACAACACADECACACAABAE	recognized
v11CCCACACCACCACADAEE	small
v9CCCACCACACAAAE	classics,decap,dented,preapproved,recognized,small
v10CCCACCACACAACAAE	classics,decap,dented,small
v10CCCACCACACACAAAE	dented,small
v11CCCACCACACACAACAAE	dented,small
v11CCCACCACACACACAAAE	dented,small
v12CCCACCACACACACAACAAE	dented,small
v12CCCACCACACACACACAABE	dented,small
v17CCCACCACACACACCACACACACACADEAE	decap
v12CCCACCACACCACAACAABE	dented,small
v11CCCACCACACCACAADEE	decap,dented,recognized,small
v12CCCACCACACCACACAAAAE	dented,small
v12CCCACCACACCACACAAABE	classics,decap,dented,small
v17CCCACCACACCACACAACACCACACAAABE	phyllo41
v18CCCACCACACCACACAACACCACACAACAAAE	phyllo41
v19CCCACCACACCACACAACACCACACAACACAAAE	phyllo41
v20CCCACCACACCACACAACACCACACAACACAACAAE	phyllo41
v21CCCACCACACCACACAACACCACACAACACACACAAAE	phyllo41
v22CCCACCACACCACACAACACCACACAACACCACACAAABE	phyllo41
v23CCCACCACACCACACAACACCACACAACACCACACAACAAAE	phyllo41
v24CCCACCACACCACACAACACCACACAACACCACACAACACAAAE	phyllo41
v13CCCACCACACCACACACAAABE	classics,decap,preapproved,recognized
v16CCCACCACACCACACACAACACAACAAE	decap,preapproved,recognized
v21CCCACCACACCACACACAACCACACACAACACACAAAE	preapproved
v19CCCACCACACCACACACACACCACAACACAAABE	decap,preapproved,recognized
v22CCCACCACACCACACACACACCACAACACAACACAACAAE	decap,preapproved,recognized
v25CCCACCACACCACACACACACCACAACACACACCACAACACAAABE	decap,preapproved,recognized
v28CCCACCACACCACACACACACCACAACACACACCACAACACAACACAACAAE	decap,recognized
v22CCCACCACACCACACACACACCACACACADECACACAAAE	preapproved
v30CCCACCACACCACACCAACACCAACACCAACACCAACACCAACACCAACACDEABE	decap,recognized
v27CCCACCACACCACACCAACACCAACACCAACACCAACACCAACACDEABE	decap,recognized
v24CCCACCACACCACACCAACACCAACACCAACACCAACACDEABE	decap,preapproved,recognized
v21CCCACCACACCACACCAACACCAACACCAACACDEABE	decap,preapproved,recognized
v18CCCACCACACCACACCAACACCAACACDEABE	decap,preapproved,recognized
v15CCCACCACACCACACCAACACDEABE	decap,preapproved,recognized
v18CCCACCACACCACACCACACACAACACADEAE	icorel
v23CCCACCACACCACACCACACACCACACAACADECACACAAAE	preapproved
v22CCCACCACACCACACCACACACCACACACACACAAABABE	decap,preapproved,recognized
v27CCCACCACACCACACCACACACCACACACACACAACACACAACACAAABE	decap,recognized
v30CCCACCACACCACACCACACACCACACACACACAACACACAACACAACACAACAAE	decap,recognized
v30CCCACCACACCACACCACACACCACACACACACACACCACACAACACACAAABABE	decap,recognized
v12CCCACCACACCACACDEAAE	classics,decap,dented,small
v12CCCACCACACCACACDEABE	decap,dented,preapproved,recognized,small
v12CCCACCACCACACAACADEE	dented,small
v12CCCACCACCACACACAAAAE	dented,recognized,small
v48CCCACCACCACACACACACCACACACACACACCACACACACACACACCACACAACACACACACCACACAACACACACACCACADEACAAAAE	flops
v20CCCACCACCACACACCACACCACACACAACAAAABE	decap,preapproved,recognized
v19CCCACCACCACACACCACACCACACACAADEDEE	decap,preapproved,recognized
v21CCCACCACCACACACCACACCACACACACACAAAABAE	preapproved,recognized
v24CCCACCACCACACACCACACCACACACACACAACCAACAADAEE	preapproved
v49CCCACCACCACACACCACACCACACACACCAACACCACACACACACCAACACCACACACACACACCAACACCACADEACACACDEACCADEABE	flops
v30CCCACCACCACACACCACACCACACACACCACACACCACACACACAACADEDEABE	recognized
v14CCCACCACCACCACACAACDEDEE	classics,decap
v17CCCACCACCACCACACACACAACAAACAAE	phyllo51
v18CCCACCACCACCACACACACAACCAAACAAAE	phyllo51
v19CCCACCACCACCACACACACACACCAAACAADEE	phyllo51
v20CCCACCACCACCACACACACCACACCAAACAADBEE	phyllo51
v21CCCACCACCACCACACACACCACACCAAACACAAAABE	phyllo51
v23CCCACCACCACCACACACACCACACCAAACACACAAACDEAE	phyllo51
v22CCCACCACCACCACACACACCACACCAAACACACAAADEE	phyllo51
v24CCCACCACCACCACACACACCACACCAAACACACAACACDEAAE	phyllo51
v30CCCACCACCACCACACACACCACACCACACACAACCAACACACAACAACAACAAAE	icorel
v16CCCACCACCACCACACCACAACAADEBE	decap
v29CCCACCACCACCACACCACAACACCACACACCACAACACCAACAACCAAABAAE	icorel
v25CCCACCACCACCACACCACACCAACCACACACACAADECACAAABE	icorel
v50CCCACCACCACCACACCACACCAACCACACACCACACACCAACCACACACACCACACACACCAACCAACACACACACACACAAAABCAACADEABE	flops
v23CCCACCACCACCACACCACACCACACACACAACAAACAAAAE	preapproved,recognized
