nid	v	hero_min_turn	morph_min_turn
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE	100	-5.28326995829927e-15	0.5448956946608214
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE	100	0.5287541364619744	0.5480800875623577
v102h248728676c88abd7	102	None	1.2728581616167294
v102h63135343ab206f3b	102	-5.988395542050329e-15	-0.016701697888552823
v102ha0145080ab94fac9	102	None	1.2723218369991356
v102hae056372ee7b85b8	102	None	1.2728765048833812
v102he0fc26d1f37f5c66	102	None	1.2728829072638659
v102he593564ce5c632e4	102	None	1.2570965621978236
v106hb125deb358f972a7	106	0.0551368547240816	0.5167743976036389
v107h025ed392ab598a98	107	0.08661693408331395	0.8126564903583653
v10CCACACACACACACAE	10	4.078042913449462	3.1172796891760193
v10CCACCACAACCACAAE	10	3.564490031546611	3.1470606847435754
v10CCACCCACCACAADEE	10	3.32535451973397	3.3904858584700905
v10CCACCCACCACABDEE	10	3.8212664724980367	3.8621994836737104
v10CCCACACACACACAAE	10	2.98825327988689	3.0911050297772014
v10CCCACACACCAACAAE	10	2.4619188346815495	2.657357058166259
v10CCCACACACCACADEE	10	2.4619188346815495	2.653588226166153
v10CCCACACCAACACAAE	10	3.0235593047159854	3.1204633554029364
v10CCCACACCACACAAAE	10	1.6488585635899797	1.97585212367315
v10CCCACCACACAACAAE	10	3.80974015566159	3.674128762229344
v10CCCACCACACACAAAE	10	1.8987192801045112	2.1636217495208165
v110h4b2c5a85b94cfcfa	110	0.6932146124671545	0.8412570108496014
v114hbbc5b9238e0f042a	114	1.7231548751589775e-06	0.6962352267859274
v116h36e5646efec1b226	116	0.06387633365932027	0.7284095826483148
v116hbed78f7f3f7b7d2e	116	3.0709661315232495e-05	-6.0138521226696025
v116he2a8f2ee792f4030	116	5.551115123125812e-17	0.7320785793268834
v11CCACCACAACCACAACAE	11	3.56449003154661	2.5305936337844903
v11CCACCCACCACAACDEBE	11	3.3253545197339696	3.376521687932107
v11CCCACACACACACACAAE	11	2.341797645216166	2.542342965096588
v11CCCACACACCAACACAAE	11	2.0591926124033444	2.35352260813747
v11CCCACACACCACACAAAE	11	2.575979960093468	2.7303064003296837
v11CCCACACCACACAACAAE	11	1.244592896897721	1.6991978607681817
v11CCCACACCACACACAAAE	11	2.356837762214508	2.5424810006992944
v11CCCACACCACACACAABE	11	2.1881332333543533	2.3750955418888955
v11CCCACACCACCACADAEE	11	2.591089245264012	2.751032056948984
v11CCCACCACACACAACAAE	11	1.549392974597485	1.881891593940169
v11CCCACCACACACACAAAE	11	2.021364320195806	2.2548996972783466
v11CCCACCACACCACAADEE	11	1.3593476378164877	1.7369468992072945
v122h8fe939a1353d3843	122	0.6080972803511395	1.0692122313057115
v127h4fa99ecb0de114a9	127	-1.763404237446291e-14	0.715485681980979
v128h0a8234b313980563	128	0.06024562209507585	0.6769506595178238
v128h4f77b7f274aa28f7	128	0.009182996364823323	-6.093216887630054
v128h918f570260220c9b	128	-1.517304800321047e-15	0.6800654895051543
v12CCCACAACCACAACCACAAE	12	3.5644900315466104	3.0738589964606677
v12CCCACACACACACACACAAE	12	2.787273604766361	2.890358062083382
v12CCCACACACCAACACACAAE	12	3.0282834459018413	2.8955636398986013
v12CCCACACACCACACAACAAE	12	2.4289124386314076	2.607419827033465
v12CCCACACACCACACACAAAE	12	2.1986649731763244	2.426838041294533
v12CCCACACACCACACACAABE	12	1.740159464022297	2.0427001135214207
v12CCCACACCAACACACCAABE	12	-6.283185307179586	1.3833786362055873
v12CCCACACCACACAACACAAE	12	1.903805071674716	2.125047788148562
v12CCCACACCACACACAACAAE	12	1.8464262937175522	2.0959677123649127
v12CCCACACCACACACACAAAE	12	1.6913688964035871	2.0269089441062853
v12CCCACACCACCACACAAAAE	12	1.991130237269246	2.221774514385204
v12CCCACACCACCACACAAABE	12	2.7340459647817656	2.8443292574137056
v12CCCACACCACCACACAABAE	12	2.940213135239432	3.0260867132327083
v12CCCACCACACACACAACAAE	12	1.5318221955870488	1.8682225665199248
v12CCCACCACACACACACAABE	12	1.0466749958308046	1.5325981632306522
v12CCCACCACACCACAACAABE	12	2.2765931891829303	2.4472591203198775
v12CCCACCACACCACACAAAAE	12	1.5114368403930796	1.8405815750708872
v12CCCACCACACCACACAAABE	12	2.550896778461941	2.6724140826739964
v12CCCACCACACCACACDEAAE	12	2.829442566969903	2.9269498371900213
v12CCCACCACACCACACDEABE	12	2.8294425669699033	2.9269498371900213
v12CCCACCACCACACAACADEE	12	2.0826897244269444	2.2618053500684385
v12CCCACCACCACACACAAAAE	12	1.3593476378164877	1.7734523284315231
v12CCCCACCACACACAACAAAE	12	3.648638281134831	3.648638260275571
v130h4da8aa291a5b8b58	130	-3.182639337258782e-15	-6.063736678080097
v130hb37a8a4bf1c4c5b2	130	0.00040870646190099846	-6.079301780741894
v132h1603e125d77882ba	132	0.6842097409293451	1.0189830735633576
v135h092af6d7c2f7fe27	135	0.0796247165681971	-6.143600776503826
v137hb0c7acff201fd2bd	137	0.3307270877507602	0.6766916255644059
v13CCACCACAACCACAACCACAAE	13	3.56449003154661	1.8129227305628457
v13CCACCCACCACACACAACAAAE	13	3.097352682702301	3.15250151548297
v13CCCACACACACACACACACAAE	13	2.4019618150759854	2.556038271683692
v13CCCACACACCAACACACCAABE	13	1.203384708017837	1.8220541093100058
v13CCCACACACCACACAACACAAE	13	1.3737533318222104	1.7702192126696867
v13CCCACACACCACACACAACAAE	13	1.544991852135224	1.8831949522673124
v13CCCACACACCACACACACAAAE	13	2.5042246894490083	2.6572728342756498
v13CCCACACACCACACACACADEE	13	2.7298808273553403	2.8453512616877203
v13CCCACACCACACACAACACAAE	13	2.331489180885836	2.5071628159297346
v13CCCACACCACACACACAACAAE	13	1.9694640734692994	2.20488848121444
v13CCCACACCACACACACACAABE	13	1.5717285705984774	1.8883599133362794
v13CCCACACCACACACACCAAABE	13	1.1527288374235702	1.6280441752715749
v13CCCACACCACCACACAAACAAE	13	2.1584865633196926	2.348357704069474
v13CCCACACCACCACACAACAAAE	13	2.009892706017463	2.235712284721706
v13CCCACACCACCACACAACAABE	13	2.3505778203405843	2.528320503274047
v13CCCACACCACCACACAACADEE	13	1.5912115934054212	1.9037973629634426
v13CCCACACCACCACACACAAAAE	13	1.9818750715393916	2.177822890712188
v13CCCACCACACAACCACACAAAE	13	2.762542604464994	2.7151265181832174
v13CCCACCACACACACACAACAAE	13	0.8721334072702296	1.4350844427021445
v13CCCACCACACACACACACAAAE	13	1.4883503557124513	1.8289689163313771
v13CCCACCACACACACACACAABE	13	1.7716313674147195	2.0139122158646985
v13CCCACCACACACACCAACADEE	13	1.5821646984042756	1.909630881519962
v13CCCACCACACCACAACACAAAE	13	2.093387254162754	2.3143037662134867
v13CCCACCACACCACACAACAAAE	13	1.7844817976402223	2.0704343836629917
v13CCCACCACACCACACAACADEE	13	1.4584930648579748	1.8176636435691373
v13CCCACCACACCACACACAAAAE	13	1.9000283659665504	2.1371939183893542
v13CCCACCACACCACACACAAABE	13	-3.2734183739986187e-16	1.179107372476559
v13CCCACCACACCACACACAABBE	13	1.2170227376488278	1.6426387842065693
v13CCCACCACACCACACCAABAAE	13	2.3580706160724247	2.5133089754514573
v13CCCACCACACCACACCAABABE	13	1.0789876198148343	1.576629679498211
v13CCCACCACCACACAACAACAAE	13	1.8575239768398581	2.096473078245375
v13CCCACCACCACACACAACAAAE	13	0.8753527260969802	1.4566389711198648
v13CCCACCACCACCACAACADEBE	13	2.1771428256195127	2.3747502080392833
v13CCCACCACCACCACACAADEBE	13	1.6819234654856892	2.0042052711722067
v146he2cde65e82df9e58	146	0.0005625438897173347	-6.172604875039663
v149h5d70922ce66c392b	149	0.027362303054703194	0.574005577555579
v14CCACACACACACACACACACACAE	14	4.078042913449462	1.3841116405414617
v14CCACCACAACCACAACCACAACAE	14	3.56449003154661	1.4033587700991186
v14CCCACACACACACACACACACAAE	14	2.68165879481408	2.209137778556455
v14CCCACACACCAACACACCAACAAE	14	2.4619188346815495	2.2089858498671706
v14CCCACACACCACACAACACACAAE	14	2.487704289063906	2.639505063754638
v14CCCACACACCACACAACCAACAAE	14	2.4877042890639056	2.636924570742187
v14CCCACACACCACACACAACACAAE	14	2.160097691639242	2.3688498997697285
v14CCCACACACCACACACACAACAAE	14	1.5928272849524443	1.924563112445838
v14CCCACACACCACACACACACAABE	14	1.1616386419577793	1.6055170013012114
v14CCCACACACCACACACACCAAABE	14	1.3106770307609077	1.7736858107391005
v14CCCACACCAACACACCAACACAAE	14	2.278060036642932	1.9089491804301548
v14CCCACACCACACAACCACACAAAE	14	1.244592896897721	1.6933369454167342
v14CCCACACCACACAACCACACAABE	14	1.244592896897721	1.6933369454167344
v14CCCACACCACACACACAACACAAE	14	1.5643160604257274	1.9730946653778263
v14CCCACACCACACACACACAACAAE	14	1.4893072573964985	1.848833491302344
v14CCCACACCACACACACACACAAAE	14	2.0059627427591336	2.2525306699865455
v14CCCACACCACACACACACACAABE	14	1.5138456783455854	1.8319967490857767
v14CCCACACCACACACACACACADEE	14	1.5740744021406963	1.9344433302482975
v14CCCACACCACACACACCAACADEE	14	0.9754889115666363	1.4808229984030017
v14CCCACACCACCACACAACAACAAE	14	1.5119030062634937	1.8461491231629672
v14CCCACACCACCACACAACACAAAE	14	2.5030727308866063	2.631686938453389
v14CCCACACCACCACACAACACAABE	14	1.4775406190526565	1.8213313549130794
v14CCCACACCACCACACAACACDEAE	14	2.729328499804617	2.832721465850292
v14CCCACACCACCACACACAAACAAE	14	2.2225957239725416	2.4061173099413087
v14CCCACACCACCACACACAABCAAE	14	2.6172151131245998	2.7076123614015426
v14CCCACACCACCACACACAACAAAE	14	2.4535134475499243	2.589360868050692
v14CCCACACCACCACACACACAAABE	14	1.547162069770478	1.8694487801506414
v14CCCACACCACCACACACACAABAE	14	1.6357561518379629	1.9965655983122361
v14CCCACCACACAACCACACAACAAE	14	2.695642641960085	2.3900983278747545
v14CCCACCACACACACACACAACAAE	14	1.5808120232542977	1.868195948524021
v14CCCACCACACACACACACACAAAE	14	1.3709616629216526	1.7607566966175698
v14CCCACCACACACACACACACAABE	14	1.752605760219619	2.008012845267255
v14CCCACCACACACACCAACACAAAE	14	2.1979182853375745	2.386974445458173
v14CCCACCACACACACCAACACAABE	14	1.6177948546022938	1.929910796365351
v14CCCACCACACACACCACACADEAE	14	1.6814692013062873	1.9978311794937138
v14CCCACCACACACACCACACADEBE	14	2.41531088716044	2.5510368687203657
v14CCCACCACACCACAACACAACAAE	14	1.5339984555173871	1.886763713668739
v14CCCACCACACCACACAACAACAAE	14	1.5836901442178266	1.8822022646216978
v14CCCACCACACCACACAACACAAAE	14	2.099259143477758	2.286932466988695
