nid	v	max_rel	argmax_alpha	hero_abs	nrungs
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACABCACACACACADEACACACACADEACACACADEACACADEACADEADEE	100	0.09756331056368815	2.1000000000000014	1.4432899320127035e-15	1
v100CCACCCACCACACCACCACACCACACACCACACCACACACCACACACACCACACACCACACACACCACACACACACCACACACACCACACACACACCACACACACACACCACACACACACCACACACACACACCACACACACACACACCACABABACACACCACACABABABACACCACACABABABACADEADEE	100	0.02771649676333945	2.1000000000000014	4.440892098500626e-15	1
v102h248728676c88abd7	102	3.1111535616602266e-05	1.8000000000000012	None	1
v102h63135343ab206f3b	102	0.3247304918747567	2.1000000000000014	1.9984014443252818e-15	1
v102ha0145080ab94fac9	102	0.0015701497944595824	1.8000000000000012	None	1
v102hae056372ee7b85b8	102	2.285108077050619e-05	1.8000000000000012	None	1
v102he0fc26d1f37f5c66	102	9.646036327282774e-06	1.8000000000000012	None	1
v102he593564ce5c632e4	102	0.031095276841091896	1.8000000000000012	None	1
v106hb125deb358f972a7	106	0.019356260744833653	2.1000000000000014	6.439293542825908e-15	1
v107h025ed392ab598a98	107	1.4279509853243529e-05	2.1000000000000014	4.3298697960381105e-15	1
v10CCACACACACACACAE	10	1.7386258204904397e-08	55.27909663310495	4.440892098500626e-16	10
v10CCACCACAACCACAAE	10	9.785696325834053e-09	55.27909663310495	2.220446049250313e-16	10
v10CCACCCACCACAADEE	10	1.5403061594093218e-08	55.27909663310495	3.3306690738754696e-16	10
v10CCACCCACCACABDEE	10	1.0874230757875398e-08	55.27909663310495	1.1102230246251565e-16	10
v10CCCACACACACACAAE	10	1.5539091698342643e-08	43.466993469328585	4.440892098500626e-16	10
v10CCCACACACCAACAAE	10	2.384388938363724e-08	43.466993469328585	4.440892098500626e-16	10
v10CCCACACACCACADEE	10	1.1176745414214202e-08	55.27909663310495	5.551115123125783e-16	10
v10CCCACACCAACACAAE	10	1.0144642443446748e-08	55.27909663310495	2.220446049250313e-16	10
v10CCCACACCACACAAAE	10	2.4625172975522703e-08	55.27909663310495	6.661338147750939e-16	10
v10CCCACCACACAACAAE	10	1.853430403984056e-08	43.466993469328585	4.440892098500626e-16	10
v10CCCACCACACACAAAE	10	1.8466524384352757e-08	55.27909663310495	2.220446049250313e-16	10
v110h4b2c5a85b94cfcfa	110	0.000423013339621772	2.1000000000000014	7.327471962526033e-15	1
v114hbbc5b9238e0f042a	114	0.03607482955498288	2.1000000000000014	4.884981308350689e-15	1
v116h36e5646efec1b226	116	0.010911383751319585	2.1000000000000014	8.43769498715119e-15	1
v116hbed78f7f3f7b7d2e	116	0.6007013859431414	2.1000000000000014	3.6637359812630166e-15	1
v116he2a8f2ee792f4030	116	0.0010218407485207014	2.1000000000000014	8.215650382226158e-15	1
v11CCACCACAACCACAACAE	11	1.4180599173566822e-08	55.27909663310495	2.220446049250313e-16	10
v11CCACCCACCACAACDEBE	11	1.5403061594093218e-08	55.27909663310495	7.771561172376096e-16	10
v11CCCACACACACACACAAE	11	1.3964855706811637e-08	55.27909663310495	4.440892098500626e-16	10
v11CCCACACACCAACACAAE	11	3.588383314935455e-08	55.27909663310495	6.661338147750939e-16	10
v11CCCACACACCACACAAAE	11	2.9582212336360477e-08	55.27909663310495	1.1102230246251565e-16	10
v11CCCACACCACACAACAAE	11	2.707738203663994e-08	55.27909663310495	2.220446049250313e-16	10
v11CCCACACCACACACAAAE	11	2.117539753952376e-08	55.27909663310495	5.551115123125783e-16	10
v11CCCACACCACACACAABE	11	1.495712146888115e-08	49.112965600533286	3.3306690738754696e-16	10
v11CCCACACCACCACADAEE	11	1.281373748577048e-08	55.27909663310495	3.3306690738754696e-16	10
v11CCCACCACACACAACAAE	11	2.405878917521299e-08	55.27909663310495	7.771561172376096e-16	10
v11CCCACCACACACACAAAE	11	2.6806160407826406e-08	55.27909663310495	4.440892098500626e-16	10
v11CCCACCACACCACAADEE	11	1.5814470990454226e-08	43.466993469328585	6.661338147750939e-16	10
