nid	v	maxdeg	max_ratio	argmax_alpha
v10CCACACACACACACAE	10	6	4.603001640821527e-08	43.466993469328585
v10CCACCACAACCACAAE	10	6	2.211853061348675e-08	55.27909663310495
v10CCACCCACCACAADEE	10	6	3.227466406276901e-08	43.466993469328585
v10CCACCCACCACABDEE	10	6	7.238410889007652e-08	43.466993469328585
v10CCCACACACACACAAE	10	6	3.319267872286884e-08	43.466993469328585
v10CCCACACACCAACAAE	10	6	6.900128990658629e-08	43.466993469328585
v10CCCACACACCACADEE	10	6	2.5261282053467616e-08	49.112965600533286
v10CCCACACCAACACAAE	10	6	4.2662764344675803e-07	2.1000000000000014
v10CCCACACCACACAAAE	10	6	5.154732707649938e-08	43.466993469328585
v10CCCACCACACAACAAE	10	5	2.437991529619638e-07	2.1000000000000014
v10CCCACCACACACAAAE	10	6	3.7573859131116764e-08	43.466993469328585
v11CCACCACAACCACAACAE	11	6	3.026325258199841e-08	55.27909663310495
v11CCACCCACCACAACDEBE	11	6	3.227466406276901e-08	43.466993469328585
v11CCCACACACACACACAAE	11	6	4.013514154224533e-08	49.112965600533286
v11CCCACACACCAACACAAE	11	6	1.066783718202837e-07	43.466993469328585
v11CCCACACACCACACAAAE	11	6	5.239600467748346e-08	43.466993469328585
v11CCCACACCACACAACAAE	11	6	4.7961962653237504e-08	43.466993469328585
v11CCCACACCACACACAAAE	11	6	4.39943593290054e-08	43.466993469328585
v11CCCACACCACACACAABE	11	6	4.3946179037232825e-08	43.466993469328585
v11CCCACACCACCACADAEE	11	6	5.0577676286935303e-08	43.466993469328585
v11CCCACCACACACAACAAE	11	6	3.9731065027330985e-08	43.466993469328585
v11CCCACCACACACACAAAE	11	6	4.5786982252315093e-08	43.466993469328585
v11CCCACCACACCACAADEE	11	6	8.962700352251578e-08	2.1000000000000014
v12CCCACAACCACAACCACAAE	12	6	5.203177629954003e-06	2.1000000000000014
v12CCCACACACACACACACAAE	12	6	4.0371140909595174e-08	49.112965600533286
v12CCCACACACCAACACACAAE	12	6	7.048665397109066e-08	49.112965600533286
v12CCCACACACCACACAACAAE	12	6	4.66576225101923e-08	55.27909663310495
v12CCCACACACCACACACAAAE	12	6	6.459843781071304e-08	49.112965600533286
v12CCCACACACCACACACAABE	12	6	4.299018055458724e-08	43.466993469328585
v12CCCACACCAACACACCAABE	12	6	5.37404944429803e-08	55.27909663310495
v12CCCACACCACACAACACAAE	12	6	5.125518253954398e-08	43.466993469328585
v12CCCACACCACACACAACAAE	12	6	1.5989424296088738e-07	2.1000000000000014
v12CCCACACCACACACACAAAE	12	6	4.712984953945961e-08	43.466993469328585
v12CCCACACCACCACACAAAAE	12	6	9.116119029759774e-08	43.466993469328585
v12CCCACACCACCACACAAABE	12	6	6.482423978344651e-08	43.466993469328585
v12CCCACACCACCACACAABAE	12	6	9.448758626475604e-08	43.466993469328585
v12CCCACCACACACACAACAAE	12	6	3.794719198186729e-08	55.27909663310495
v12CCCACCACACACACACAABE	12	6	5.561093217102697e-08	43.466993469328585
v12CCCACCACACCACAACAABE	12	6	5.6380579960169426e-08	21.872676300000002
v12CCCACCACACCACACAAAAE	12	6	9.93327894480831e-08	2.1000000000000014
v12CCCACCACACCACACAAABE	12	6	1.0170547367784838e-07	2.1000000000000014
v12CCCACCACACCACACDEAAE	12	6	1.5020555557511186e-07	2.1000000000000014
