nid	v	maxdeg	max_rel	argmax_alpha	new_solves	solve_fail
v10CCACACACACACACAE	10	6	1.2440029527249614e-08	43.466993469328585	0	False
v10CCACCACAACCACAAE	10	6	1.0048925837523378e-08	43.466993469328585	0	False
v10CCACCCACCACAADEE	10	6	2.3734917891930518e-08	21.872676300000002	0	False
v10CCACCCACCACABDEE	10	6	1.0529269665391325e-08	43.466993469328585	0	False
v10CCCACACACACACAAE	10	6	2.324105526077695e-08	43.466993469328585	0	False
v10CCCACACACCAACAAE	10	6	2.792288976593423e-08	43.466993469328585	0	False
v10CCCACACACCACADEE	10	6	9.906761035619501e-09	55.27909663310495	0	False
v10CCCACACCAACACAAE	10	6	6.859606706854358e-08	2.1000000000000014	0	False
v10CCCACACCACACAAAE	10	6	2.6333112992428215e-08	43.466993469328585	0	False
v10CCCACCACACAACAAE	10	5	1.749655828699832e-08	21.872676300000002	0	False
v10CCCACCACACACAAAE	10	6	2.0847227645162454e-08	43.466993469328585	0	False
v11CCACCACAACCACAACAE	11	6	7.3425241156736015e-09	43.466993469328585	0	False
v11CCACCCACCACAACDEBE	11	6	2.3685592086317012e-08	21.872676300000002	0	False
v11CCCACACACACACACAAE	11	6	1.1556475692376467e-08	43.466993469328585	0	False
v11CCCACACACCAACACAAE	11	6	2.144248005952009e-08	43.466993469328585	0	False
v11CCCACACACCACACAAAE	11	6	3.2329200928270046e-08	43.466993469328585	0	False
v11CCCACACCACACAACAAE	11	6	1.0366538722202649e-08	43.466993469328585	0	False
v11CCCACACCACACACAAAE	11	6	2.3268646007510176e-08	43.466993469328585	0	False
v11CCCACACCACACACAABE	11	6	2.341872075910334e-08	43.466993469328585	0	False
v11CCCACACCACCACADAEE	11	6	1.6228278761742143e-08	43.466993469328585	0	False
v11CCCACCACACACAACAAE	11	6	2.1159822668242115e-08	21.872676300000002	0	False
v11CCCACCACACACACAAAE	11	6	3.04784969613432e-08	43.466993469328585	0	False
v11CCCACCACACCACAADEE	11	6	2.870981076229786e-08	21.872676300000002	0	False
v12CCCACAACCACAACCACAAE	12	6	1.128417064521141e-07	2.1000000000000014	0	False
v12CCCACACACACACACACAAE	12	6	1.556646691948084e-08	43.466993469328585	0	False
v12CCCACACACCAACACACAAE	12	6	1.819137087173299e-08	43.466993469328585	0	False
v12CCCACACACCACACAACAAE	12	6	1.5801083286005066e-08	21.872676300000002	0	False
v12CCCACACACCACACACAAAE	12	6	1.9079330695543084e-08	43.466993469328585	0	False
v12CCCACACACCACACACAABE	12	6	1.1753945995550046e-08	43.466993469328585	0	False
